"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","NUM_COLLISIONS"
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,33,4.6,426
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,32.1,7.5,623
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,36,8.8,559
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,38.5,7.2,540
"80",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,35.7,4.8,508
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,34,7.5,604
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,38.4,8.3,488
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,39.1,5.7,451
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,38.3,6.5,498
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,42.2,4.5,425
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,43.8,4.8,441
"87",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,43.3,4.7,549
"88",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,46.7,5.7,520
"89",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,48,3.8,513
"90",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,49.3,4.6,426
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,49.3,5.7,479
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,38,8.5,437
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,38.4,8.9,532
"94",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,39.9,6.1,566
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,49,4.7,582
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,43.1,6.2,531
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,46.2,5.8,451
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,59,4.1,582
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,65.7,4.3,613
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,65.1,4,580
"101",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,56.2,4.8,517
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,44.2,9.9,649
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,46.5,3.9,555
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,52.3,3.5,472
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,49.9,5.5,603
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,53.9,5.6,564
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,62.7,5.3,535
"108",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,55.3,4.6,553
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,60.8,6.1,570
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,55.5,7.6,532
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,46,5.5,471
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,47.6,6.8,565
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,45.4,8.3,513
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,52.9,4.5,598
"115",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,56.1,4.9,583
"116",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,57.3,2.5,675
"117",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,57.8,4.4,517
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,58.9,3.5,440
"119",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,55,4.3,598
"120",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,57.7,4.8,576
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,57,4.5,576
"122",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,58.9,2.3,585
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,56.6,6,686
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,54.7,4.9,580
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,52.1,5.2,515
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,55.4,3.6,561
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,60.9,4,592
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,60.3,4.5,620
"129",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,58.9,2.9,602
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,66.9,3,698
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,64.4,3.3,523
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,62.6,5.4,527
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,51.7,6.6,577
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,51.1,4.3,565
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,58,3.3,532
"136",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,69.5,3.3,559
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,66.4,3,742
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,61,2.2,506
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,57.3,3.6,544
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,65,2,658
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,75.9,3.6,697
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,71,3.7,570
"143",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,71.5,3.9,735
"144",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,59.6,4.5,668
"145",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,48.1,7.5,514
"146",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,55.5,8.3,455
"147",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,61.7,3.3,420
"148",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,61.1,2.3,686
"149",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,66.9,1.6,574
"150",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,81,3.8,685
"151",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,83,3.4,736
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,80.8,3.8,631
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,80.1,5.1,487
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,72.2,3.5,707
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,66.1,3.9,613
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,66,3.7,599
"157",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,63.8,3.7,605
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,61.5,7.2,791
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,64.9,5.9,571
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,71.7,1.7,533
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,67.7,4.2,624
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,69.6,4.9,635
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,70.9,6.1,615
"164",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,65.7,3.6,535
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,59.9,6.5,693
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,69.4,3.5,596
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,72.8,2.5,477
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,75.3,3.7,614
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,72.8,1.9,613
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,67.4,5,622
"171",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,69.6,3.2,681
"172",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,71.6,3.9,690
"173",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,72.4,4.1,599
"174",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,76.1,3.8,505
"175",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,80.6,4,680
"176",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,80.9,2.9,648
"177",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,79.4,3.7,621
"178",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,78.1,2.9,598
"179",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,77.1,4.6,608
"180",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,76.2,3.5,591
"181",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,77.5,3,423
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,74.2,2.7,633
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,75.6,2.2,601
"184",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,76,4.2,635
"185",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,79.5,3.1,438
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,82.3,4.7,576
"187",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,84.6,3.9,516
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,85.6,3.6,475
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,81.3,3.8,617
"190",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,78.8,4.1,583
"191",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,79.4,2.9,614
"192",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,80.6,3.3,550
"193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,75,7.3,599
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,72.2,6.2,575
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,80.3,2.9,471
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,85.3,3.4,581
"197",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,85.9,3.9,582
"198",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,86.7,2.7,609
"199",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,88.2,3.6,636
"200",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,89.1,3.6,697
"201",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,86.7,5.6,551
"202",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,82.3,3.9,447
"203",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,78.2,4.4,591
"204",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,78.7,3.5,571
"205",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,78.5,3.6,571
"206",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,67.3,7.4,507
"207",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,72.2,5.3,617
"208",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,75.2,3.6,516
"209",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,73.3,1.4,485
"210",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,75.1,2.9,597
"211",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,74.4,3.8,584
"212",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,74.1,2.2,553
"213",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,71.5,2.3,643
"214",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,73.6,3.7,626
"215",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,73.4,3.4,492
"216",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,73.2,3.9,454
"217",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,70.2,3.7,545
"218",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,72.1,1.7,543
"219",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,73.4,4.6,508
"220",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,73.8,3.7,549
"221",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,77,3.3,579
"222",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,77.2,4.4,495
"223",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,73.5,2.3,481
"224",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,74.5,2,519
"225",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,73.2,1.7,553
"226",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,68.3,5.3,622
"227",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,68.6,3.3,599
"228",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,70.9,1.7,678
"229",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,72.6,1.6,504
"230",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,72.1,2.5,442
"231",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,72.1,2.4,462
"232",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,76.6,3.3,542
"233",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,80.1,1.9,562
"234",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,75.6,2.9,578
"235",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,75.5,4.6,636
"236",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,72,5.3,527
"237",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,72.8,2.4,459
"238",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,74.5,4.9,521
"239",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,77.8,4.9,507
"240",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,76.4,1.8,482
"241",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,73.8,4,572
"242",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,75.1,3.6,599
"243",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,78.3,4.4,480
"244",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2013,78.9,2.7,480
"245",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2013,76.9,0.9,431
"246",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2013,75.7,2.7,551
"247",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2013,72.7,4.4,604
"248",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2013,73,4.3,493
"249",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2013,64.7,4.2,525
"250",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2013,67.8,2.9,585
"251",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2013,73.7,4.5,500
"252",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2013,65.3,4.9,632
"253",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2013,74.9,4.1,629
"254",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2013,84.4,3.9,576
"255",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2013,80,4.6,695
