"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"90",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,49.3,29.7,426
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,49.3,40.8,479
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,38,10.9,437
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,38.4,9.5,532
"94",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,39.9,16.4,566
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,49,22.3,582
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,43.1,13.2,531
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,46.2,31,451
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,59,40.8,582
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,65.7,42.7,613
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,65.1,45.9,580
"101",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,56.2,50.1,517
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,44.2,38.8,649
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,46.5,36.8,555
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,52.3,30.4,472
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,49.9,27,603
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,53.9,43.9,564
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,62.7,45.3,535
"108",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,55.3,39.9,553
